Estabeleciomentos.Discreta,Valor da Produção.Contínua,Região Produtora.Nominal,Quantidade de estabelecimentosestado.Ordinal
6229,2752683,Pernambuco - Cana-de-Açúcar,MEDIO
3109,2253674,Alagoas - Cana-de-Açúcar,MEDIO
895,253060,Sergipe - Cana-de-Açúcar,PEQUENO
15369,776758,Bahia - Cana-de-Açúcar,GRANDE
49246,11462008,Minas Gerais - Cana-de-Açúcar,GRANDE
1512,243033,Espírito Santo - Cana-de-Açúcar,PEQUENO
4496,280071,Rio de Janeiro - Cana-de-Açúcar,MEDIO
15002,56729446,São Paulo - Cana-de-Açúcar,GRANDE
5839,4672937,Paraná - Cana-de-Açúcar,MEDIO
7995,81718,Santa Catarina - Cana-de-Açúcar,MEDIO
31070,103559,Rio Grande do Sul - Cana-de-Açúcar,GRANDE
1715,6372629,Mato Grosso do Sul - Cana-de-Açúcar,PEQUENO
2979,2073107,Mato Grosso - Cana-de-Açúcar,MEDIO
3394,10584857,Goiás - Cana-de-Açúcar,MEDIO
133,1133,Distrito Federal - Cana-de-Açúcar,PEQUENO
111629,77184,Pernambuco - Milho,GRANDE
41663,97760,Alagoas -  Milho,GRANDE
14783,1021628,Sergipe -  Milho,GRANDE
139165,2948567,Bahia -  Milho,GRANDE
141920,7845375,Minas Gerais -  Milho,GRANDE
14698,98567,Espírito Santo -  Milho,GRANDE
2253,15492,Rio de Janeiro -  Milho,MEDIO
20609,5111510,São Paulo -  Milho,GRANDE
127810,15043426,Paraná -  Milho,GRANDE
81215,3075119,Santa Catarina -  Milho,GRANDE
180010,5183639,Rio Grande do Sul -  Milho,GRANDE
9255,8561016,Mato Grosso do Sul -  Milho,MEDIO
10561,29501004,Mato Grosso -  Milho,GRANDE
19940,10577155,Goiás -  Milho,GRANDE
1438,229583,Distrito Federal -  Milho,PEQUENO
